timestamp,cpu_percent,ram_percent,ram_used_gib,ram_total_gib,disk_percent,disk_used_gib,disk_total_gib,uptime_seconds,uptime_hms,cpu_alert,ram_alert
2025-12-27T18:59:36.829610,31.0,50.5,7.76,15.37,89.8,415.81,463.25,17552.606634140015,04:52:32,False,False
2025-12-27T18:59:39.131688,13.7,50.6,7.78,15.37,89.8,415.81,463.25,17554.908712148666,04:52:34,False,False
2025-12-27T18:59:41.433505,10.9,50.6,7.78,15.37,89.8,415.81,463.25,17557.210529327393,04:52:37,False,False
2025-12-27T18:59:43.735594,10.1,50.8,7.81,15.37,89.8,415.81,463.25,17559.5126183033,04:52:39,False,False
2025-12-27T18:59:46.037422,15.6,50.8,7.81,15.37,89.8,415.81,463.25,17561.81444644928,04:52:41,False,False
2025-12-27T18:59:48.339462,11.8,51.1,7.85,15.37,89.8,415.81,463.25,17564.11648607254,04:52:44,False,False
2025-12-27T18:59:50.642113,11.2,50.9,7.82,15.37,89.8,415.81,463.25,17566.419137239456,04:52:46,False,False
2025-12-27T18:59:52.944345,10.1,50.9,7.82,15.37,89.8,415.81,463.25,17568.721368789673,04:52:48,False,False
2025-12-27T18:59:55.246292,9.6,50.9,7.83,15.37,89.8,415.81,463.25,17571.023316144943,04:52:51,False,False
2025-12-27T18:59:57.547866,12.0,50.5,7.76,15.37,89.8,415.81,463.25,17573.324890375137,04:52:53,False,False
2025-12-27T18:59:59.849764,7.6,50.4,7.75,15.37,89.8,415.81,463.25,17575.626788139343,04:52:55,False,False
2025-12-27T19:00:02.153639,9.6,50.4,7.75,15.37,89.8,415.81,463.25,17577.930663585663,04:52:57,False,False
2025-12-27T19:00:04.455590,11.3,50.4,7.75,15.37,89.8,415.81,463.25,17580.232614040375,04:53:00,False,False
2025-12-27T19:00:06.757040,13.4,50.4,7.75,15.37,89.8,415.81,463.25,17582.534064292908,04:53:02,False,False
2025-12-27T19:00:09.060417,12.2,50.4,7.75,15.37,89.8,415.81,463.25,17584.83744072914,04:53:04,False,False
2025-12-27T19:00:11.362288,8.8,50.4,7.75,15.37,89.8,415.81,463.25,17587.139312267303,04:53:07,False,False
